Confirmed,Deaths,Recovered,Active,Date,Confirmed_Incidence,Active_Incidence,Deaths_Incidence,Recovered_Incidence
148291,5033,95200,48058,2020-04-21 00:00:00,1821.3333333333333,0.0,231.0,3800.0
150648,5279,99400,45969,2020-04-22 00:00:00,2021.3333333333333,0.0,237.66666666666666,3933.3333333333335
153129,5575,103300,44254,2020-04-23 00:00:00,2236.0,0.0,242.33333333333334,4866.666666666667
154999,5760,109800,39439,2020-04-24 00:00:00,1955.0,465.6666666666667,199.33333333333334,3466.6666666666665
156513,5877,109800,40836,2020-04-25 00:00:00,1547.0,465.6666666666667,133.66666666666666,2900.0
157770,5976,112000,39794,2020-04-26 00:00:00,1253.0,465.6666666666667,122.0,1566.6666666666667
158758,6126,114500,38132,2020-04-27 00:00:00,1133.0,0.0,145.66666666666666,2533.3333333333335
159912,6314,117400,36198,2020-04-28 00:00:00,1256.3333333333333,0.0,163.66666666666666,2800.0
161539,6467,120400,34672,2020-04-29 00:00:00,1417.0,0.0,165.66666666666666,3000.0
163009,6623,123500,32886,2020-04-30 00:00:00,1388.3333333333333,0.0,140.66666666666666,3166.6666666666665
164077,6736,126900,30441,2020-05-01 00:00:00,1142.6666666666667,0.0,115.0,2866.6666666666665
164967,6812,129000,29155,2020-05-02 00:00:00,885.0,0.0,81.0,2366.6666666666665
165664,6866,130600,28198,2020-05-03 00:00:00,691.6666666666666,0.0,85.66666666666667,1933.3333333333333
166152,6993,132700,26459,2020-05-04 00:00:00,680.0,0.0,60.333333333333336,2033.3333333333333
167007,6993,135100,24914,2020-05-05 00:00:00,832.6666666666666,0.0,136.33333333333334,3100.0
168162,7275,139900,20987,2020-05-06 00:00:00,1092.6666666666667,0.0,133.0,3000.0
169430,7392,141700,20338,2020-05-07 00:00:00,1193.6666666666667,346.6666666666667,172.33333333333334,2200.0
170588,7510,141700,21378,2020-05-08 00:00:00,1054.0,346.6666666666667,91.33333333333333,1133.3333333333333
171324,7549,143300,20475,2020-05-09 00:00:00,816.3333333333334,346.6666666666667,59.0,900.0
171879,7569,144400,19910,2020-05-10 00:00:00,662.6666666666666,0.0,50.333333333333336,1305.6666666666667
172576,7661,145617,19298,2020-05-11 00:00:00,615.6666666666666,0.0,63.0,1300.0
173171,7738,147200,18233,2020-05-12 00:00:00,739.6666666666666,0.0,97.33333333333333,1433.3333333333333
174098,7861,148700,17537,2020-05-13 00:00:00,634.0,0.0,74.33333333333333,1561.0
174478,7884,150300,16294,2020-05-14 00:00:00,687.3333333333334,0.0,53.0,1465.6666666666667
175233,7897,151597,15739,2020-05-15 00:00:00,551.3333333333334,0.0,25.666666666666668,1300.0
175752,7938,152600,15214,2020-05-16 00:00:00,630.3333333333334,0.0,26.0,1237.0
